question_id,question_subcategory,question_keyword,question_description,question_type,train_phase
benefit_search-preventive_care-1,preventive care,Preventive care,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover preventive care?
benefit_search-preventive_care-2,preventive care,Preventive care,How much does [preventive benefits] cost to me?,2,How much does preventive care cost to me?
benefit_search-preventive_care-1,preventive care,Abdominal aortic aneurysm screening,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover abdominal aortic aneurysm screening?
benefit_search-preventive_care-2,preventive care,Abdominal aortic aneurysm screening,How much does [preventive benefits] cost to me?,2,How much does abdominal aortic aneurysm screening cost to me?
benefit_search-preventive_care-1,preventive care,Alcohol misuse screenings & counseling,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover alcohol misuse screenings & counseling?
benefit_search-preventive_care-2,preventive care,Alcohol misuse screenings & counseling,How much does [preventive benefits] cost to me?,2,How much does alcohol misuse screenings & counseling cost to me?
benefit_search-preventive_care-1,preventive care,Bone mass measurements (bone density),Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover bone mass measurements (bone density)?
benefit_search-preventive_care-2,preventive care,Bone mass measurements (bone density),How much does [preventive benefits] cost to me?,2,How much does bone mass measurements (bone density) cost to me?
benefit_search-preventive_care-1,preventive care,Cardiovascular disease screenings,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover cardiovascular disease screenings?
benefit_search-preventive_care-2,preventive care,Cardiovascular disease screenings,How much does [preventive benefits] cost to me?,2,How much does cardiovascular disease screenings cost to me?
benefit_search-preventive_care-1,preventive care,Cardiovascular disease (behavioral therapy),Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover cardiovascular disease (behavioral therapy)?
benefit_search-preventive_care-2,preventive care,Cardiovascular disease (behavioral therapy),How much does [preventive benefits] cost to me?,2,How much does cardiovascular disease (behavioral therapy) cost to me?
benefit_search-preventive_care-1,preventive care,Cervical & vaginal cancer screening,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover cervical & vaginal cancer screening?
benefit_search-preventive_care-2,preventive care,Cervical & vaginal cancer screening,How much does [preventive benefits] cost to me?,2,How much does cervical & vaginal cancer screening cost to me?
benefit_search-preventive_care-1,preventive care,Colorectal cancer screenings,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover colorectal cancer screenings?
benefit_search-preventive_care-2,preventive care,Colorectal cancer screenings,How much does [preventive benefits] cost to me?,2,How much does colorectal cancer screenings cost to me?
benefit_search-preventive_care-1,preventive care,Multi-target stool DNA tests,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover multi-target stool DNA tests?
benefit_search-preventive_care-2,preventive care,Multi-target stool DNA tests,How much does [preventive benefits] cost to me?,2,How much does multi-target stool DNA tests cost to me?
benefit_search-preventive_care-1,preventive care,Screening barium enemas,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover screening barium enemas?
benefit_search-preventive_care-2,preventive care,Screening barium enemas,How much does [preventive benefits] cost to me?,2,How much does screening barium enemas cost to me?
benefit_search-preventive_care-1,preventive care,Screening colonoscopies,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover screening colonoscopies?
benefit_search-preventive_care-2,preventive care,Screening colonoscopies,How much does [preventive benefits] cost to me?,2,How much does screening colonoscopies cost to me?
benefit_search-preventive_care-1,preventive care,Screening fecal occult blood tests,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover screening fecal occult blood tests?
benefit_search-preventive_care-2,preventive care,Screening fecal occult blood tests,How much does [preventive benefits] cost to me?,2,How much does screening fecal occult blood tests cost to me?
benefit_search-preventive_care-1,preventive care,Screening flexible sigmoidoscopies,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover screening flexible sigmoidoscopies?
benefit_search-preventive_care-2,preventive care,Screening flexible sigmoidoscopies,How much does [preventive benefits] cost to me?,2,How much does screening flexible sigmoidoscopies cost to me?
benefit_search-preventive_care-1,preventive care,Depression screenings,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover depression screenings?
benefit_search-preventive_care-2,preventive care,Depression screenings,How much does [preventive benefits] cost to me?,2,How much does depression screenings cost to me?
benefit_search-preventive_care-1,preventive care,Diabetes screenings,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover diabetes screenings?
benefit_search-preventive_care-2,preventive care,Diabetes screenings,How much does [preventive benefits] cost to me?,2,How much does diabetes screenings cost to me?
benefit_search-preventive_care-1,preventive care,Diabetes self-management training ,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover diabetes self-management training ?
benefit_search-preventive_care-2,preventive care,Diabetes self-management training ,How much does [preventive benefits] cost to me?,2,How much does diabetes self-management training  cost to me?
benefit_search-preventive_care-1,preventive care,Flu shots,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover flu shots?
benefit_search-preventive_care-2,preventive care,Flu shots,How much does [preventive benefits] cost to me?,2,How much does flu shots cost to me?
benefit_search-preventive_care-1,preventive care,Glaucoma tests,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover glaucoma tests?
benefit_search-preventive_care-2,preventive care,Glaucoma tests,How much does [preventive benefits] cost to me?,2,How much does glaucoma tests cost to me?
benefit_search-preventive_care-1,preventive care,Hepatitis B shots,Which plan(s) cover [preventive benefits]?,1,Which plan(s) cover hepatitis B shots?
benefit_search-preventive_care-2,preventive care,Hepatitis B shots,How much does [preventive benefits] cost to me?,2,How much does hepatitis B shots cost to me?
